AÑO;MES;PROVINCIA_DESTINO;CONTINENTE_ORIGEN;PAIS_ORIGEN;TURISTAS;PERNOCTACIONES
2019;7;A Coruña;América;Argentina;491;4075
2019;7;Albacete;América;Argentina;36;230
2019;7;Alicante/Alacant;América;Argentina;874;7254
2019;7;Almería;América;Argentina;188;1692
2019;7;Araba/Álava;América;Argentina;39;300
2019;7;Asturias;América;Argentina;239;1840
2019;7;Badajoz;América;Argentina;30;198
2019;7;Barcelona;América;Argentina;9639;55906
2019;7;Bizkaia;América;Argentina;175;1225
2019;7;Burgos;América;Argentina;54;275
2019;7;Cantabria;América;Argentina;99;713
2019;7;Castellón/Castelló;América;Argentina;125;850
2019;7;Cáceres;América;Argentina;35;273
2019;7;Cádiz;América;Argentina;306;2203
2019;7;Córdoba;América;Argentina;66;482
2019;7;Gipuzkoa;América;Argentina;366;2672
2019;7;Girona;América;Argentina;664;4582
2019;7;Granada;América;Argentina;293;2051
2019;7;Guadalajara;América;Argentina;58;348
2019;7;Huelva;América;Argentina;39;328
2019;7;Huesca;América;Argentina;59;354
2019;7;Illes Balears;América;Argentina;3866;29768
2019;7;La Rioja;América;Argentina;43;288
2019;7;Las Palmas;América;Argentina;237;1612
2019;7;León;América;Argentina;72;576
2019;7;Lleida;América;Argentina;79;537
2019;7;Lugo;América;Argentina;95;713
2019;7;Madrid;América;Argentina;12154;57124
2019;7;Murcia;América;Argentina;147;1264
2019;7;Málaga;América;Argentina;1412;11437
2019;7;Navarra;América;Argentina;153;1102
2019;7;Ourense;América;Argentina;69;600
2019;7;Pontevedra;América;Argentina;267;2243
2019;7;Salamanca;América;Argentina;90;675
2019;7;Santa Cruz de Tenerife;América;Argentina;177;1487
2019;7;Segovia;América;Argentina;70;392
2019;7;Sevilla;América;Argentina;324;2300
2019;7;Tarragona;América;Argentina;410;3198
2019;7;Toledo;América;Argentina;170;748
2019;7;Total Nacional;América;Argentina;34780;211712
2019;7;Valencia/València;América;Argentina;707;5373
2019;7;Valladolid;América;Argentina;58;406
2019;7;Zaragoza;América;Argentina;101;828
2019;7;Ávila;América;Argentina;35;235
2019;8;A Coruña;América;Argentina;607;6070
2019;8;Alicante/Alacant;América;Argentina;1088;12186
2019;8;Almería;América;Argentina;203;2355
2019;8;Araba/Álava;América;Argentina;49;475
2019;8;Asturias;América;Argentina;315;3024
2019;8;Badajoz;América;Argentina;45;356
2019;8;Barcelona;América;Argentina;10372;71567
2019;8;Bizkaia;América;Argentina;249;2166
2019;8;Burgos;América;Argentina;58;458
2019;8;Cantabria;América;Argentina;133;1051
2019;8;Castellón/Castelló;América;Argentina;168;1478
2019;8;Cuenca;América;Argentina;39;179
2019;8;Cáceres;América;Argentina;85;740
2019;8;Cádiz;América;Argentina;409;3845
2019;8;Córdoba;América;Argentina;77;578
2019;8;Gipuzkoa;América;Argentina;437;3409
2019;8;Girona;América;Argentina;727;5816
2019;8;Granada;América;Argentina;321;2600
2019;8;Guadalajara;América;Argentina;65;358
2019;8;Huelva;América;Argentina;80;656
2019;8;Huesca;América;Argentina;79;608
2019;8;Illes Balears;América;Argentina;4373;38482
2019;8;La Rioja;América;Argentina;60;624
2019;8;Las Palmas;América;Argentina;347;3088
2019;8;León;América;Argentina;98;1058
2019;8;Lleida;América;Argentina;118;1015
2019;8;Lugo;América;Argentina;114;1140
2019;8;Madrid;América;Argentina;12178;65761
2019;8;Murcia;América;Argentina;173;1782
2019;8;Málaga;América;Argentina;1793;16675
2019;8;Navarra;América;Argentina;133;1383
2019;8;Ourense;América;Argentina;97;1086
2019;8;Pontevedra;América;Argentina;468;5148
2019;8;Salamanca;América;Argentina;97;669
2019;8;Santa Cruz de Tenerife;América;Argentina;200;2040
2019;8;Segovia;América;Argentina;70;441
2019;8;Sevilla;América;Argentina;335;2546
2019;8;Tarragona;América;Argentina;415;3818
2019;8;Toledo;América;Argentina;206;989
2019;8;Total Nacional;América;Argentina;38089;277874
2019;8;Valencia/València;América;Argentina;835;7098
2019;8;Valladolid;América;Argentina;55;451
2019;8;Zamora;América;Argentina;32;253
2019;8;Zaragoza;América;Argentina;112;1008
2019;8;Ávila;América;Argentina;40;320
2019;9;A Coruña;América;Argentina;555;4773
2019;9;Albacete;América;Argentina;38;289
2019;9;Alicante/Alacant;América;Argentina;648;6286
2019;9;Almería;América;Argentina;144;1670
2019;9;Araba/Álava;América;Argentina;44;440
2019;9;Asturias;América;Argentina;238;2166
2019;9;Badajoz;América;Argentina;48;408
2019;9;Barcelona;América;Argentina;9325;68073
2019;9;Bizkaia;América;Argentina;242;1863
2019;9;Burgos;América;Argentina;64;467
2019;9;Cantabria;América;Argentina;157;1429
2019;9;Castellón/Castelló;América;Argentina;122;1025
2019;9;Ciudad Real;América;Argentina;32;240
2019;9;Cáceres;América;Argentina;42;357
2019;9;Cádiz;América;Argentina;397;3573
2019;9;Córdoba;América;Argentina;121;762
2019;9;Gipuzkoa;América;Argentina;395;3121
2019;9;Girona;América;Argentina;524;3982
2019;9;Granada;América;Argentina;391;2893
2019;9;Guadalajara;América;Argentina;94;432
2019;9;Huelva;América;Argentina;66;680
2019;9;Huesca;América;Argentina;48;389
2019;9;Illes Balears;América;Argentina;3030;26664
2019;9;La Rioja;América;Argentina;65;553
2019;9;Las Palmas;América;Argentina;283;2123
2019;9;León;América;Argentina;82;787
2019;9;Lleida;América;Argentina;83;623
2019;9;Lugo;América;Argentina;119;1047
2019;9;Madrid;América;Argentina;12806;67872
2019;9;Murcia;América;Argentina;104;926
2019;9;Málaga;América;Argentina;1586;14591
2019;9;Navarra;América;Argentina;138;1049
2019;9;Ourense;América;Argentina;68;660
2019;9;Pontevedra;América;Argentina;303;3182
2019;9;Salamanca;América;Argentina;100;720
2019;9;Santa Cruz de Tenerife;América;Argentina;393;3576
2019;9;Segovia;América;Argentina;69;283
2019;9;Sevilla;América;Argentina;538;3927
2019;9;Tarragona;América;Argentina;352;2816
2019;9;Toledo;América;Argentina;196;921
2019;9;Total Nacional;América;Argentina;34971;245517
2019;9;Valencia/València;América;Argentina;603;5548
2019;9;Valladolid;América;Argentina;54;421
2019;9;Zaragoza;América;Argentina;105;788
2019;10;A Coruña;América;Argentina;332;3187
2019;10;Alicante/Alacant;América;Argentina;530;5353
2019;10;Almería;América;Argentina;119;1416
2019;10;Araba/Álava;América;Argentina;31;295
2019;10;Asturias;América;Argentina;200;1800
2019;10;Badajoz;América;Argentina;54;535
2019;10;Barcelona;América;Argentina;7978;54250
2019;10;Bizkaia;América;Argentina;226;1605
2019;10;Burgos;América;Argentina;47;362
2019;10;Cantabria;América;Argentina;98;1049
2019;10;Castellón/Castelló;América;Argentina;123;1156
2019;10;Cuenca;América;Argentina;38;285
2019;10;Cáceres;América;Argentina;37;244
2019;10;Cádiz;América;Argentina;351;3440
2019;10;Córdoba;América;Argentina;106;922
2019;10;Gipuzkoa;América;Argentina;316;2844
2019;10;Girona;América;Argentina;310;2697
2019;10;Granada;América;Argentina;366;2965
